timeframe,sym1,sym2,n_obs,corr,alpha,beta,adf_stat,adf_p,phi,half_life_bars,adf_cv_5pct
D1,Cotton_H6,Wheat_Z5,36,0.40975150650420245,2.5522470937816992,0.26402658498893833,-2.982861790175748,0.03652618695299763,0.5842252650507258,1.2896513870583544,-2.9485102040816327
D1,Cotton_H6,XAGAUD,36,-0.5322939207446524,4.895173733264653,-0.16829340813752883,-3.0351875203945973,0.03173644962435417,0.6004005568444621,1.3586905203601303,-2.9485102040816327
D1,Cotton_H6,XAGEUR,36,-0.5137662266396411,4.721278820333312,-0.14658245615240412,-2.962928350731974,0.038504470052259224,0.6196375442254107,1.448218510548826,-2.9485102040816327
D1,Cotton_H6,XAGUSD,36,-0.4569402544981706,4.633869545023744,-0.11659481217194871,-2.970217702130804,0.03777085725384372,0.6233735287682326,1.4666386595248213,-2.9485102040816327
D1,Cotton_H6,XAUAUD,36,-0.6538140445052576,6.179415698408935,-0.2303019165445231,-3.0532226512493224,0.03021422817686882,0.5739708243402084,1.2485163098364915,-2.9485102040816327
D1,Cotton_H6,XAUCHF,36,-0.6512507794241829,5.893643722586898,-0.21300162408503667,-2.991947209384678,0.03565330387201635,0.5900724827843971,1.313998436634356,-2.9485102040816327
D1,Cotton_H6,XAUEUR,36,-0.6233999312493902,5.779245797100546,-0.19692394790443055,-2.935343311944245,0.04138972353016072,0.6081225645525066,1.3936000840852962,-2.9485102040816327
D1,Cotton_H6,XAUGBP,36,-0.6094757807550245,5.687605101131149,-0.18885044087659023,-2.973373772657116,0.03745688661791163,0.5999483522792435,1.3566868229000921,-2.9485102040816327
D1,Cotton_H6,XAUJPY,36,-0.578637684897726,6.403015810243781,-0.16721983553255165,-2.876502291815877,0.0481494884201764,0.6223742200298408,1.4616767519563973,-2.9485102040816327
D1,Cotton_H6,XBRUSD,36,0.3046174853258409,3.6033471738942904,0.14280088883024938,-2.610199156240571,0.09090757801969468,0.6878973575126185,1.8527618282673453,-2.9485102040816327
